GlobalId,material.MaterialProfiles.Profile.ProfileName.0,material.MaterialProfiles.Material.Name.0,PredefinedType,Qto_ColumnBaseQuantities.NetWeight,Qto_BeamBaseQuantities.NetWeight,Qto_MemberBaseQuantities.NetWeight
1LiSaymmDAEBr9yk0jcYDs,PK80X7.0_30245_2003,09G2S,BRACE,,,71.092
1agPJ4NDrCbvfOWlZm_Wlf,I20H2_57837_2017,S345-5,BEAM,,165.193,
2JCgdAm411ZwGWXQlJ1LkI,I20H2_57837_2017,S345-5,BEAM,,164.274,
1Yn4UP$0v7IgGPgtPehaw_,PK80X7.0_30245_2003,09G2S,BRACE,,,74.031
0v2NwwrdvAB86S$qs$hDUN,U12P_8240_97,S245-4,JOIST,,34.304,
2NpgisWQjEBgMny291vmON,U12P_8240_97,S245-4,JOIST,,34.304,
3YqeBdKwX7Dvq8xsTenpmM,U12P_8240_97,S245-4,JOIST,,31.072,
1PCMnrCdvBrf39e8RUHsg8,PK80X7.0_30245_2003,09G2S,STRUT,,,44.198
23wKTC7knEHwZeP_UnzIW2,U12P_8240_97,S245-4,JOIST,,34.304,
0NQCMfycP5TBHHVHy2HjPg,I20K2_57837_2017,S345-5,COLUMN,249.559,,
2_XwNPcsnA1B3VlP6mIHDi,U12P_8240_97,S245-4,JOIST,,31.072,
0YyiDjKgDA2P6VlekAER32,I20K2_57837_2017,S345-5,COLUMN,274.515,,
3_5kI87ED4M8enLs4$gMyl,PK80X7.0_30245_2003,09G2S,STRUT,,,44.198
2NCrRG5xP6f86s$LhBAz78,I20K2_57837_2017,S345-5,COLUMN,249.559,,
3Of8pWTVr6_fgRZNUyFxxq,PK80X7.0_30245_2003,09G2S,BRACE,,,84.646
15eKxF$y9DnOLt8teKQ5ko,U12P_8240_97,S245-4,JOIST,,34.304,
2s5rY_s1z4Vud8MXene_P6,U12P_8240_97,S245-4,JOIST,,34.304,
1kQ0xQC3j5ogJXsfN5vsM3,PK80X7.0_30245_2003,09G2S,STRUT,,,44.198
1ryp3xG3PDHBgEzghZImqV,I20H2_57837_2017,S345-5,BEAM,,165.193,
3IjA8x6vr4sQVL6R_GZsl5,U12P_8240_97,S245-4,JOIST,,31.072,
0BaBhcsbjAEf0dnQ8dDW$C,U12P_8240_97,S245-4,JOIST,,31.072,
3JUh1woLLAUffWhTHhHIyM,U12P_8240_97,S245-4,JOIST,,34.304,
3hab6Dv2XBcwr6wrFshhkW,U12P_8240_97,S245-4,JOIST,,34.304,
31jAVMQaD2MRMKEvCHvIku,PK80X7.0_30245_2003,09G2S,STRUT,,,44.198
3c9YmePKXDeQl3SuyL1tA1,I20K2_57837_2017,S345-5,COLUMN,274.515,,
169RH_VDT0Quro5zPegcHe,U12P_8240_97,S245-4,JOIST,,34.304,
0YZ6sdiHjBx8vnvokvjVEh,I20K2_57837_2017,S345-5,COLUMN,249.559,,
1q8VzwJprF$fs7YiWMTioO,I20K2_57837_2017,S345-5,COLUMN,274.515,,
3z9ShRdjP5zf_zoLmpzvyy,PK80X7.0_30245_2003,09G2S,STRUT,,,44.198
0VgP5dqgn9h8RyElAeJ5Il,U12P_8240_97,S245-4,JOIST,,31.072,
3wAg8d1u540ua7HKVCcNZR,U12P_8240_97,S245-4,JOIST,,34.304,
1RpwMo3CXDwwhwPQbIsXm7,I20K2_57837_2017,S345-5,COLUMN,249.559,,
2dceTU_kX4NwtAP9G767pO,PK80X7.0_30245_2003,09G2S,BRACE,,,66.665
3QnYuu6az7ve6_bdZ6jgnV,I20K2_57837_2017,S345-5,COLUMN,274.515,,
1Txmz615D4VgijLmXg9OCE,U12P_8240_97,S245-4,JOIST,,34.304,
07BobWgfD6xOXRl_cu__i$,U12P_8240_97,S245-4,JOIST,,31.072,
2PlFsUfVb9DfnEtITCoPCX,U12P_8240_97,S245-4,JOIST,,34.304,
3ILZr12C1Fowlq49sAmF4T,PK80X7.0_30245_2003,09G2S,BRACE,,,78.458
0ZpXshZ_XBPRySpmZFbPU$,I20H2_57837_2017,S345-5,BEAM,,165.193,
0caA2v5nP8Avyrk6C9msBI,PK80X7.0_30245_2003,09G2S,BRACE,,,77.28
17oxL7CM1CdAzPRPNgqWjJ,U12P_8240_97,S245-4,JOIST,,34.304,
2dc0GN8gvAVhgKJKj6JzCz,PK80X7.0_30245_2003,09G2S,STRUT,,,44.198
