GlobalId,Name,type.Name
3fCtmJO_jBShlAVSljJLcQ,Анкерный болт А-1,Анкерный болт А-1
073XS9lGj7$eLvfMW9_vrI,Анкерный болт А-1,Анкерный болт А-1
0d22PDaRLDR8sClxdsvzos,Болт 1.1.М20×1320 09Г2С ГОСТ 24379.1-2012,
3Iw5PB3l5B8hHr9C7aFAA7,Анкерный болт А-1,Анкерный болт А-1
3kRNyPh2L7DPX5Xcuu8y3G,Анкерный болт А-1,Анкерный болт А-1
0cDUwBdpv428RKXvsoDBg$,Шайба М20 ГОСТ 24379.1-2012,Шайба М20 ГОСТ 24379.1-2012
2nslUzGt10EvuXoHLTKIHo,Гайка М24 ГОСТ 5915-70,Гайка М24 ГОСТ 5915-70
1PVwa5zGz1YOSgchFvRNsq,Шайба М24 ГОСТ 24379.1-2012,Шайба М24 ГОСТ 24379.1-2012
21XttmBUjBAxbnNSPlUb$e,Гайка М20 ГОСТ 5915-70,Гайка М20 ГОСТ 5915-70
1NfxwUG0XErOPrQDrphNJ9,Гайка М24 ГОСТ 5915-70,Гайка М24 ГОСТ 5915-70
34lFV0PZz7k9EHI_uZw1FD,Анкерный болт А-1,Анкерный болт А-1
20okxZiifD9xvfmtDjt6OA,Шпилька 1.М24×1320 09Г2С,Шпилька 1.М24×1320 09Г2С
1wgtfthp95mPEQY6CGDQs9,Анкерный болт А-1,Анкерный болт А-1
2DGYRF0E55_wOblnT_AOe2,Анкерный болт А-1,Анкерный болт А-1
2$iMWEIhH85P7o3DN5112B,Анкерный болт А-1,Анкерный болт А-1
3jSqepSEX0JxYtFf5gKYNa,Болт 1.1.М24×1320 09Г2С ГОСТ 24379.1-2012,Болт 1.1.М24×1320 09Г2С ГО
2K1_Sjug94BxfLs4tLog2M,Гайка М20 ГОСТ 5915-70,Гайка М20 ГОСТ 5915-70
05FJrENifFhv5vblc1LLcf,Анкерный болт А-1,Анкерный болт А-1
1VpE$m1Zv1f9fdVMaOSd5y,Анкерный болт А-1,Анкерный болт А-1
3aYLBgOT9CzRcMh1CWD_dO,Шпилька 1.М20×1320 09Г2С,Шпилька 1.М20×1320 09Г2С
