GlobalId,Name,type.Name
3yJKU4Ja5C8u$UE3w4Dpoq,Анкерный болт А-1,Анкерный болт А-1
1Wus4qUEX1DBV8nDdlMKoO,Анкерный болт А-1,Анкерный болт А-1
345XQQH5n1JQ65SgMaFD94,Анкерный болт А-1,Анкерный болт А-1
2FtPyOBV1DdxnccU36p6A_,Анкерный болт А-1,Анкерный болт А-1
0LKHjD$nrFbPPqHSLDwrUc,Анкерный болт А-1,Анкерный болт А-1
116NlgggHErvm6Rv_dzspW,Шпилька 1.М20×1320 09Г2С,Шпилька 1.М20×1320 09Г2С
3_9cL_aoP5Xuatq4UM_$ZL,Анкерный болт А-1,Анкерный болт А-1
1M87bYvx9AtgLFjHQG1lwJ,Шайба М20 ГОСТ 24379.1-2012,Шайба М20 ГОСТ 24379.1-2012
1TvdT2SBn3WAFH78azyCgx,Гайка М20 ГОСТ 5915-70,Гайка М20 ГОСТ 5915-70
1RgEr$y5nEO8Vx468cjf5_,Болт 1.1.М20×1320 09Г2С ГОСТ 24379.1-2012,Болт 1.1.М20×1320 09Г2С ГОСТ 24379.1-2012
2sLcYvUaz4uANfIyEKXcB7,Анкерный болт А-1,Анкерный болт А-1
3J_YtN45XEChZJaioY0q4B,Гайка М20 ГОСТ 5915-70,Гайка М20 ГОСТ 5915-70
0oKkVB4$n69f_WeZP57FkT,Анкерный болт А-1,Анкерный болт А-1
2t0YvMoJj7VBxFUKFqguKQ,Анкерный болт А-1,Анкерный болт А-1
0HZAJdsJz3dx21v9Rg4cQi,Анкерный болт А-1,Анкерный болт А-1
2Zv89oZtv4UfRnNSNSodRj,Анкерный болт А-1,Анкерный болт А-1
