GlobalId,Name,Tag
1LiSaymmDAEBr9yk0jcYDs,Связь по колоннам СК-1,СК-1
1agPJ4NDrCbvfOWlZm_Wlf,Балка Б-1,Б-1
3MbmtBnFv37AZWomJ4NDcN,Opening,
2JCgdAm411ZwGWXQlJ1LkI,Балка Б-1,Б-1
1Yn4UP$0v7IgGPgtPehaw_,Связь горизонтальная СГ-1,СГ-1
0v2NwwrdvAB86S$qs$hDUN,Прогон П-1,П-1
2NpgisWQjEBgMny291vmON,Прогон П-1,П-1
3YqeBdKwX7Dvq8xsTenpmM,Прогон П-1,П-1
1PCMnrCdvBrf39e8RUHsg8,Распорка Р-1,Р-1
23wKTC7knEHwZeP_UnzIW2,Прогон П-1,П-1
0NQCMfycP5TBHHVHy2HjPg,I20К2 С345-5 5м,1
0YyiDjKgDA2P6VlekAER32,"I20К2 С345-5 5,5м",
2_XwNPcsnA1B3VlP6mIHDi,Прогон П-1,П-1
3_5kI87ED4M8enLs4$gMyl,Распорка Р-1,Р-1
3uMgYWxDr6V9J9jFFDhK1G,База колонны.001,2
2NCrRG5xP6f86s$LhBAz78,I20К2 С345-5 5м,
3Of8pWTVr6_fgRZNUyFxxq,Связь по колоннам СК-1,СК-1
2N7Skp0CT2UfrzA$bJegxD,Колонна К-1,К-1
15eKxF$y9DnOLt8teKQ5ko,Прогон П-1,П-1
2s5rY_s1z4Vud8MXene_P6,Прогон П-1,П-1
1kQ0xQC3j5ogJXsfN5vsM3,Распорка Р-1,Р-1
0AteuYJ357GBMyB_EHrB3d,Opening,
1ryp3xG3PDHBgEzghZImqV,Балка Б-1,Б-1
3IjA8x6vr4sQVL6R_GZsl5,Прогон П-1,П-1
1lIcVx8Fr5fPNUFT8Ax_uG,База колонны,2
0BaBhcsbjAEf0dnQ8dDW$C,Прогон П-1,П-1
3JUh1woLLAUffWhTHhHIyM,Прогон П-1,П-1
31jAVMQaD2MRMKEvCHvIku,Распорка Р-1,Р-1
3hab6Dv2XBcwr6wrFshhkW,Прогон П-1,П-1
3c9YmePKXDeQl3SuyL1tA1,"I20К2 С345-5 5,5м",
17oxL7CM1CdAzPRPNgqWjJ,Прогон П-1,П-1
169RH_VDT0Quro5zPegcHe,Прогон П-1,П-1
2l274jttf6xA4LVI1LxtwA,Opening,
0YZ6sdiHjBx8vnvokvjVEh,I20К2 С345-5 5м,1
3z9ShRdjP5zf_zoLmpzvyy,Распорка Р-1,Р-1
0GAEUZPBHBDQTDvehX_3iy,База колонны.001,2
0VgP5dqgn9h8RyElAeJ5Il,Прогон П-1,П-1
3wAg8d1u540ua7HKVCcNZR,Прогон П-1,П-1
0Vw2wqhx9Eshwe988uyWg0,Колонна К-1,К-1
2dceTU_kX4NwtAP9G767pO,Связь горизонтальная СГ-1,СГ-1
3QnYuu6az7ve6_bdZ6jgnV,"I20К2 С345-5 5,5м",
1RpwMo3CXDwwhwPQbIsXm7,I20К2 С345-5 5м.001,1
0ligUul9f69uFK1mlhIbPD,Колонна К-2,К-2
1Txmz615D4VgijLmXg9OCE,Прогон П-1,П-1
0caA2v5nP8Avyrk6C9msBI,Связь по колоннам СК-1,СК-1
3ILZr12C1Fowlq49sAmF4T,Связь по колоннам СК-1,СК-1
07BobWgfD6xOXRl_cu__i$,Прогон П-1,П-1
0ZpXshZ_XBPRySpmZFbPU$,Балка Б-1,Б-1
2PlFsUfVb9DfnEtITCoPCX,Прогон П-1,П-1
1q8VzwJprF$fs7YiWMTioO,"I20К2 С345-5 5,5м",
2dc0GN8gvAVhgKJKj6JzCz,Распорка Р-1,Р-1
